sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG03225,YR3,58.72,31.02,27.70,54.7,WUSTL,20677.24,hic,69.68,36.02,15688985,49.15,21.51,88673,R1041,top up ONT UL being done
HG03239,YR3,60.7,42.6,18.10,52.9,UW,20857.67,trio,54.72,34.35,14289676,70.04,37.3,106521,R1041,
HG03458,YR3,70.98,44.47,26.51,26.51,RU,23396.33,hic,66.38,31.48,10169009,40.23,21.39,106435,R1041,sample flagged R2 assembly and top up ONT UL being done
HG03470,YR3,70.68,48.58,22.10,62.9,RU,26426.98,hic,55.34,38.84,9215824,51.83,29.07,113720,R1041,
HG03704,YR3,57.34,38.44,18.90,53,UW,20096.12,trio,136.32,36.58,20402453,46.79,21.26,91422,R1041,top up ONT UL being done
HG03742,YR3,63.17,49.97,13.20,41.2,RU,19278.02,hic,69.88,38.43,16459352,60.21,35.68,120581,R1041,
HG03834,YR3,68.81,42.71,26.10,63.8,WUSTL,18947.21,trio,65.72,35.42,15009793,54.4,27.25,100497,R1041,
NA18522,YR3,66.82,47.92,18.90,61.1,UW,20366.27,hic,74.41,33.68,21823553,63.95,41.79,139490,R1041,
NA18570,YR3,66.44,50.24,16.20,59,RU,22191.88,hic,57.84,34.79,17940129,46.15,26.12,113625,R1041,
NA18612,YR3,60.27,40.69,19.58,19.59,WUSTL,18989.67,hic,64.66,47.21,10090463,66.49,33.37,100452,R1041,sample flagged in R2 assembly
NA18747,YR3,61.59,44.49,17.10,55.5,UW,20510.07,hic,71.03,35.93,10810952,49.9,28.4,114913,R1041,
NA18971,YR3,67.84,41.34,26.50,63,WUSTL,19259.83,hic,59.5,36.68,10119710,50.73,28.49,117956,R1041,
NA18983,YR3,66.19,48.69,17.50,58.8,UW,20967.97,hic,45.7,33.12,17214754,59.13,28.94,97976,R1041,
NA19043,YR3,60.53,48.43,12.10,53.7,UW,21229.71,hic,185.7,42.56,15149869,84.76,42.18,99565,R1041,
NA19087,YR3,67.06,48.26,18.80,60.3,RU,20945.25,hic,70.64,36.83,16712321,66.69,33.89,101613,R1041,
NA19159,YR3,57.39,34.69,22.70,52.5,RU,23390.48,hic,83.49,37.39,14765232,53.32,32.22,124654,R1041,
